variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,restart_count,elapsed_sec
baseline,0,0.0,97.99489782636645,0.011806562946419106,0.0,0.0001204959222472178,0,0.0010647999588400126
baseline,100,0.0,7.940053492926711,0.0009566287984531292,2.9950372662870855e-05,9.261761609474291e-05,2,0.09767500008456409
baseline,200,0.0,7.942749161760953,0.0009569535764209636,7.81499550690275e-06,9.764771599008015e-05,4,0.21844769991002977
baseline,300,0.0,2.72069061421479,0.0003277926270342602,4.320440869138558e-05,0.0002070751546095517,5,0.3053073000628501
baseline,400,0.0,2.2424587341471764,0.0002701745783374081,3.580003848403393e-05,0.00016637356915473307,7,0.42299959994852543
baseline,500,0.0,4.556573353241378,0.0005489823583503506,1.78510823056778e-05,0.0001580262556561742,8,0.5097596000414342
baseline,600,0.0,1.235082304770036,0.0001488044510349229,1.1492944577535995e-05,0.00017543983209969828,9,0.6142645000945777
baseline,700,0.0,1.509894692501755,0.0001819142335458373,6.263809565635536e-06,0.0001495779374148483,10,0.6997495000250638
baseline,800,0.0,1.7567279072288673,0.00021165304598999424,8.824547484031493e-06,0.0001098264101349876,12,0.8158545999322087
baseline,900,0.0,1.3341473990320856,0.0001607399527512493,5.336264455114675e-06,0.00018627490331203823,13,0.9096413000952452
baseline,1000,0.0,0.4471956960439529,5.387876564824626e-05,8.275103550414176e-06,0.0002118403100629286,14,1.0133698999416083
baseline,1100,0.0,1.3343893133870446,0.00016076909893255893,4.263225394223526e-06,0.00014657971200386714,15,1.1084843999706209
baseline,1200,0.0,1.4609238188283704,0.0001760141538948497,3.0727765676438605e-06,0.0001268956186405404,17,1.2266824999824166
baseline,1300,0.0,0.5728076144528589,6.90126660288861e-05,5.882912611125255e-06,0.0001268956186405404,17,1.3030882999300957
baseline,1400,0.0,0.5960899220840359,7.181775115762865e-05,4.83305755416215e-06,0.00016841100206361687,18,1.4296651999466121
baseline,1500,0.0,1.0500046596249746,0.00012650603636386583,2.103974444173814e-06,0.00011377298502812667,19,1.5363195000682026
baseline,1600,0.0,0.8781098171600965,0.00010579590427798568,1.5389212354003506e-06,0.0001153267941612284,20,1.6599137000739574
baseline,1700,0.0,0.5243135217839769,6.317002962306921e-05,2.807347495727805e-06,0.00017644999080227336,21,1.7510953000746667
