variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,restart_count,elapsed_sec
baseline,0,0.0,0.0,0.0,0.0,1.0,0,0.001451499992981553
baseline,100,0.0,0.0,0.0,0.0,1.0,2,0.04362590005621314
baseline,200,0.0,0.0,0.0,0.0,1.0,5,0.08632730017416179
baseline,300,0.0,0.0,0.0,0.0,1.0,7,0.12378000002354383
baseline,400,0.0,0.0,0.0,0.0,1.0,10,0.16836850019171834
baseline,500,0.0,0.0,0.0,0.0,1.0,12,0.20992000005207956
baseline,600,0.0,0.0,0.0,0.0,1.0,15,0.2512605001684278
baseline,700,0.0,0.0,0.0,0.0,1.0,17,0.2885794001631439
baseline,800,0.0,0.0,0.0,0.0,1.0,20,0.326361000072211
baseline,900,0.0,0.0,0.0,0.0,1.0,22,0.3659420001786202
baseline,1000,0.0,0.0,0.0,0.0,1.0,25,0.40404799999669194
baseline,1100,0.0,0.0,0.0,0.0,1.0,27,0.4387269001454115
baseline,1200,0.0,0.0,0.0,0.0,1.0,30,0.47293160017579794
baseline,1300,0.0,0.0,0.0,0.0,1.0,32,0.5071863001212478
baseline,1400,0.0,0.0,0.0,0.0,1.0,35,0.5417016001883894
baseline,1500,0.0,0.0,0.0,0.0,1.0,37,0.5743474999908358
baseline,1600,0.0,0.0,0.0,0.0,1.0,40,0.6038786000572145
baseline,1700,0.0,0.0,0.0,0.0,1.0,42,0.6290304001886398
baseline,1800,0.0,0.0,0.0,0.0,1.0,45,0.6585172000341117
baseline,1900,0.0,0.0,0.0,0.0,1.0,47,0.6889136000536382
baseline,2000,0.0,0.0,0.0,0.0,1.0,50,0.7159333000890911
baseline,2100,0.0,0.0,0.0,0.0,1.0,52,0.7496103001758456
baseline,2200,0.0,0.0,0.0,0.0,1.0,55,0.7799923000857234
baseline,2300,0.0,0.0,0.0,0.0,1.0,57,0.8052920000627637
baseline,2400,0.0,0.0,0.0,0.0,1.0,60,0.8392205000855029
baseline,2500,0.0,0.0,0.0,0.0,1.0,62,0.8751751000527292
baseline,2600,0.0,0.0,0.0,0.0,1.0,65,0.909069900168106
baseline,2700,0.0,0.0,0.0,0.0,1.0,67,0.9366185001563281
baseline,2800,0.0,0.0,0.0,0.0,1.0,70,0.9727825000882149
baseline,2900,0.0,0.0,0.0,0.0,1.0,72,1.0124755001161247
baseline,3000,0.0,0.0,0.0,0.0,1.0,75,1.046013800194487
baseline,3100,0.0,0.0,0.0,0.0,1.0,77,1.080527300015092
baseline,3200,0.0,0.0,0.0,0.0,1.0,80,1.1170612000860274
baseline,3300,0.0,0.0,0.0,0.0,1.0,82,1.149289600085467
baseline,3400,0.0,0.0,0.0,0.0,1.0,85,1.183422700036317
baseline,3500,0.0,0.0,0.0,0.0,1.0,87,1.2103303000330925
baseline,3600,0.0,0.0,0.0,0.0,1.0,90,1.2406793001573533
baseline,3700,0.0,0.0,0.0,0.0,1.0,92,1.2750852000899613
baseline,3800,0.0,0.0,0.0,0.0,1.0,95,1.3140287001151592
baseline,3900,0.0,0.0,0.0,0.0,1.0,97,1.3525182001758367
baseline,4000,0.0,0.0,0.0,0.0,1.0,100,1.3884493000805378
baseline,4100,0.0,0.0,0.0,0.0,1.0,102,1.4256816001143306
baseline,4200,0.0,0.0,0.0,0.0,1.0,105,1.4627330000512302
baseline,4300,0.0,0.0,0.0,0.0,1.0,107,1.492809700081125
baseline,4400,0.0,0.0,0.0,0.0,1.0,110,1.527775299968198
baseline,4500,0.0,0.0,0.0,0.0,1.0,112,1.5629543999675661
baseline,4600,0.0,0.0,0.0,0.0,1.0,115,1.5937895001843572
baseline,4700,0.0,0.0,0.0,0.0,1.0,117,1.6260480000637472
baseline,4800,0.0,0.0,0.0,0.0,1.0,120,1.6597166999708861
baseline,4900,0.0,0.0,0.0,0.0,1.0,122,1.6986394000705332
baseline,5000,0.0,0.0,0.0,0.0,1.0,125,1.7333539000246674
B_only,0,0.0,0.0,0.0,0.0,1.0,0,0.0011325001250952482
B_only,100,0.0,0.0,0.0,0.0,1.0,2,0.03326570009812713
B_only,200,0.0,0.0,0.0,0.0,1.0,5,0.06326110009104013
B_only,300,0.0,0.0,0.0,0.0,1.0,7,0.092620600014925
B_only,400,0.0,0.0,0.0,0.0,1.0,10,0.12215890013612807
B_only,500,0.0,0.0,0.0,0.0,1.0,12,0.15523899998515844
B_only,600,0.0,0.0,0.0,0.0,1.0,15,0.18523130007088184
B_only,700,0.0,0.0,0.0,0.0,1.0,17,0.21339299995452166
B_only,800,0.0,0.0,0.0,0.0,1.0,20,0.2451166999526322
B_only,900,0.0,0.0,0.0,0.0,1.0,22,0.28312549996189773
B_only,1000,0.0,0.0,0.0,0.0,1.0,25,0.31590740010142326
B_only,1100,0.0,0.0,0.0,0.0,1.0,27,0.34939220012165606
B_only,1200,0.0,0.0,0.0,0.0,1.0,30,0.38034930010326207
B_only,1300,0.0,0.0,0.0,0.0,1.0,32,0.41018759994767606
B_only,1400,0.0,0.0,0.0,0.0,1.0,35,0.4478357001207769
B_only,1500,0.0,0.0,0.0,0.0,1.0,37,0.4814728000201285
B_only,1600,0.0,0.0,0.0,0.0,1.0,40,0.514315800042823
B_only,1700,0.0,0.0,0.0,0.0,1.0,42,0.5484847000334412
B_only,1800,0.0,0.0,0.0,0.0,1.0,45,0.5845753001049161
B_only,1900,0.0,0.0,0.0,0.0,1.0,47,0.6165110999718308
B_only,2000,0.0,0.0,0.0,0.0,1.0,50,0.6529741000849754
B_only,2100,0.0,0.0,0.0,0.0,1.0,52,0.6874794999603182
B_only,2200,0.0,0.0,0.0,0.0,1.0,55,0.7260404000990093
B_only,2300,0.0,0.0,0.0,0.0,1.0,57,0.7637738001067191
B_only,2400,0.0,0.0,0.0,0.0,1.0,60,0.804012400098145
B_only,2500,0.0,0.0,0.0,0.0,1.0,62,0.8414750001393259
B_only,2600,0.0,0.0,0.0,0.0,1.0,65,0.8806131000164896
B_only,2700,0.0,0.0,0.0,0.0,1.0,67,0.9132050999905914
B_only,2800,0.0,0.0,0.0,0.0,1.0,70,0.9462292001117021
B_only,2900,0.0,0.0,0.0,0.0,1.0,72,0.9812984000891447
B_only,3000,0.0,0.0,0.0,0.0,1.0,75,1.009068800136447
B_only,3100,0.0,0.0,0.0,0.0,1.0,77,1.0488814001437277
B_only,3200,0.0,0.0,0.0,0.0,1.0,80,1.0824125001672655
B_only,3300,0.0,0.0,0.0,0.0,1.0,82,1.114751199958846
B_only,3400,0.0,0.0,0.0,0.0,1.0,85,1.1547161999624223
B_only,3500,0.0,0.0,0.0,0.0,1.0,87,1.1979837999679148
B_only,3600,0.0,0.0,0.0,0.0,1.0,90,1.2345657001715153
B_only,3700,0.0,0.0,0.0,0.0,1.0,92,1.2706462000496686
B_only,3800,0.0,0.0,0.0,0.0,1.0,95,1.3111646000761539
B_only,3900,0.0,0.0,0.0,0.0,1.0,97,1.3420399001333863
B_only,4000,0.0,0.0,0.0,0.0,1.0,100,1.385448600165546
B_only,4100,0.0,0.0,0.0,0.0,1.0,102,1.4203413999639452
B_only,4200,0.0,0.0,0.0,0.0,1.0,105,1.4561928999610245
B_only,4300,0.0,0.0,0.0,0.0,1.0,107,1.4924342001322657
B_only,4400,0.0,0.0,0.0,0.0,1.0,110,1.523340699961409
B_only,4500,0.0,0.0,0.0,0.0,1.0,112,1.5520924001466483
B_only,4600,0.0,0.0,0.0,0.0,1.0,115,1.5875481001567096
