variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,elapsed_sec
baseline,0,0.0,12252.124749972507,0.2781686162220135,0.032240735599563634,2.2704219676183712e-05,0.010757599957287312
baseline,10,-11.560087898065648,8605.322327947839,0.19537269273356178,0.03055142803179951,1.0520066955189757e-05,0.14460090000648052
baseline,20,-36.5088606301811,10333.818052470988,0.23461594838498256,0.020799318322209832,3.654744407921525e-06,0.2979802000336349
baseline,30,-108.3231135029167,12551.949465519247,0.2849757478775235,0.0088084709369576,8.547841789453487e-07,0.4753918000496924
baseline,40,-415.37456097090444,16042.576846385118,0.3642259194270998,0.0023952144073589306,1.0798225806906777e-07,0.6424707999685779
baseline,50,-2845.984065352392,24880.604134871595,0.5648818767520686,0.00035122162732306554,6.04253052701824e-09,0.8001728999661282
baseline,60,-46281.87364987339,58425.64137554119,1.326478479853413,2.1606249230189884e-05,1.0734691962530339e-10,0.9222019000444561
baseline,70,-2491276.822187855,2492036.4828507095,56.578459177940616,4.014002647609346e-07,1.4230973806513015e-12,1.0352575000142679
baseline,80,-186921848.9975121,186921888.55814114,4243.819267506252,5.349826802890217e-09,1.8779828825219848e-14,1.1544160000048578
baseline,90,-14162696315.429178,14162696603.030283,321545.67443871195,7.060802390007822e-11,2.4780208209737587e-16,1.2895194999873638
baseline,100,-1073325064783.4211,1073325035852.1584,24368454.1311994,9.31684195971697e-13,3.2697703143756055e-18,1.4607486999593675
baseline,110,-81342763880641.1,81342757875555.86,1846781914.1309705,1.2293656525745514e-14,4.3144904122266296e-20,1.6208742000162601
baseline,120,-6164624707306122.0,6164623964916889.0,139959799042.5164,1.6221587636916928e-16,5.693007540408223e-22,1.771224100026302
baseline,130,-4.671908965697758e+17,4.6719081861350854e+17,10606962153698.361,0.0,7.511972677415244e-24,1.902929599978961
baseline,140,-3.5406427696399376e+19,3.5406420149164184e+19,803856890070460.5,0.0,9.912112672505252e-26,2.022934200009331
baseline,150,-2.683303893029123e+21,2.683303197248409e+21,6.092092208613607e+16,0.0,1.3079117771112212e-27,2.1599240000359714
baseline,160,-2.0335629485119635e+23,2.033562327586959e+23,4.616939757060102e+18,0.0,1.7258007787391053e-29,2.2755057000322267
baseline,170,-1.541151702011236e+25,1.541151160586468e+25,3.498984008714488e+20,0.0,2.277208838420961e-31,2.3867677999660373
baseline,180,-1.1679739865061277e+27,1.1679735225424274e+27,2.6517325376588807e+22,0.0,3.004796403703349e-33,2.4965853999601677
baseline,190,-8.851583286880456e+28,8.851579364412793e+28,2.0096363964818115e+24,0.0,3.9648542838993745e-35,2.6059721000492573
