variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,restart_count,elapsed_sec
baseline,0,0.0,0.0,0.0,0.0,1.0,0,0.0026124001014977694
baseline,10,0.0,0.0,0.0,0.0,1.0,1,0.007536400109529495
baseline,20,0.0,0.0,0.0,0.0,1.0,2,0.013600900070741773
baseline,30,0.0,0.0,0.0,0.0,1.0,3,0.018397999927401543
baseline,40,0.0,0.0,0.0,0.0,1.0,4,0.023617699975147843
baseline,50,0.0,0.0,0.0,0.0,1.0,5,0.030121099902316928
baseline,60,0.0,0.0,0.0,0.0,1.0,6,0.03417899995110929
baseline,70,0.0,0.0,0.0,0.0,1.0,7,0.03857659990899265
baseline,80,0.0,0.0,0.0,0.0,1.0,8,0.04482729989103973
baseline,90,0.0,0.0,0.0,0.0,1.0,9,0.049206099938601255
baseline,100,0.0,0.0,0.0,0.0,1.0,10,0.0534916000906378
baseline,110,0.0,0.0,0.0,0.0,1.0,11,0.059939200058579445
baseline,120,0.0,0.0,0.0,0.0,1.0,12,0.06486560008488595
baseline,130,0.0,0.0,0.0,0.0,1.0,13,0.06917389994487166
baseline,140,0.0,0.0,0.0,0.0,1.0,14,0.07563370000571012
baseline,150,0.0,0.0,0.0,0.0,1.0,15,0.08178139990195632
baseline,160,0.0,0.0,0.0,0.0,1.0,16,0.08705780003219843
baseline,170,0.0,0.0,0.0,0.0,1.0,17,0.09212790010496974
baseline,180,0.0,0.0,0.0,0.0,1.0,18,0.09679299988783896
baseline,190,0.0,0.0,0.0,0.0,1.0,19,0.10258749988861382
baseline,200,0.0,0.0,0.0,0.0,1.0,20,0.10900659998878837
baseline,210,0.0,0.0,0.0,0.0,1.0,21,0.11463399999774992
baseline,220,0.0,0.0,0.0,0.0,1.0,22,0.11913820006884634
baseline,230,0.0,0.0,0.0,0.0,1.0,23,0.12481390009634197
baseline,240,0.0,0.0,0.0,0.0,1.0,24,0.13067570002749562
baseline,250,0.0,0.0,0.0,0.0,1.0,25,0.13641969999298453
baseline,260,0.0,0.0,0.0,0.0,1.0,26,0.1407733999658376
baseline,270,0.0,0.0,0.0,0.0,1.0,27,0.14616540004499257
baseline,280,0.0,0.0,0.0,0.0,1.0,28,0.15017840010114014
baseline,290,0.0,0.0,0.0,0.0,1.0,29,0.15517619997262955
baseline,300,0.0,0.0,0.0,0.0,1.0,30,0.15997670008800924
baseline,310,0.0,0.0,0.0,0.0,1.0,31,0.16411580005660653
baseline,320,0.0,0.0,0.0,0.0,1.0,32,0.1683686999604106
baseline,330,0.0,0.0,0.0,0.0,1.0,33,0.1730076998937875
baseline,340,0.0,0.0,0.0,0.0,1.0,34,0.17931149993091822
baseline,350,0.0,0.0,0.0,0.0,1.0,35,0.18383580003865063
baseline,360,0.0,0.0,0.0,0.0,1.0,36,0.18808960006572306
baseline,370,0.0,0.0,0.0,0.0,1.0,37,0.19262610003352165
baseline,380,0.0,0.0,0.0,0.0,1.0,38,0.19779659993946552
baseline,390,0.0,0.0,0.0,0.0,1.0,39,0.20263319998048246
baseline,400,0.0,0.0,0.0,0.0,1.0,40,0.20666959998197854
baseline,410,0.0,0.0,0.0,0.0,1.0,41,0.21105349995195866
baseline,420,0.0,0.0,0.0,0.0,1.0,42,0.21543100010603666
baseline,430,0.0,0.0,0.0,0.0,1.0,43,0.2201481000520289
baseline,440,0.0,0.0,0.0,0.0,1.0,44,0.22395580005832016
baseline,450,0.0,0.0,0.0,0.0,1.0,45,0.22944079991430044
baseline,460,0.0,0.0,0.0,0.0,1.0,46,0.23399299988523126
baseline,470,0.0,0.0,0.0,0.0,1.0,47,0.23817309993319213
baseline,480,0.0,0.0,0.0,0.0,1.0,48,0.24384470004588366
baseline,490,0.0,0.0,0.0,0.0,1.0,49,0.24919739994220436
baseline,500,0.0,0.0,0.0,0.0,1.0,50,0.25436850008554757
baseline,510,0.0,0.0,0.0,0.0,1.0,51,0.25940160010941327
baseline,520,0.0,0.0,0.0,0.0,1.0,52,0.2650456998962909
baseline,530,0.0,0.0,0.0,0.0,1.0,53,0.26897320011630654
baseline,540,0.0,0.0,0.0,0.0,1.0,54,0.2732832001056522
baseline,550,0.0,0.0,0.0,0.0,1.0,55,0.27956759999506176
baseline,560,0.0,0.0,0.0,0.0,1.0,56,0.28485170006752014
baseline,570,0.0,0.0,0.0,0.0,1.0,57,0.2893682001158595
baseline,580,0.0,0.0,0.0,0.0,1.0,58,0.2956328000873327
baseline,590,0.0,0.0,0.0,0.0,1.0,59,0.30021449993364513
