variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,elapsed_sec
baseline,0,0.0,97.99489782636645,0.011806562946419106,0.0,0.0001204959222472178,0.0010635999497026205
baseline,100,0.0,7.464920087030565,0.0008993840582769728,3.506332834832617e-05,0.00010412390932386515,0.030776700004935265
baseline,200,0.0,5.511938250154549,0.0006640860631594564,2.183415726024427e-05,0.00021849520847418198,0.05490230000577867
baseline,300,0.0,4.308467162985369,0.0005190901760262863,2.2908181613180893e-05,0.00016125608949400905,0.0844550000037998
baseline,400,0.0,1.7768241897959196,0.00021407427434350847,1.1600926454403561e-05,0.00017688312606595647,0.11155150004196912
baseline,500,0.0,1.6307217273474537,0.00019647164443331607,6.924618749005156e-06,0.00013612247997973372,0.13890899997204542
baseline,600,0.0,1.1587102099572393,0.00013960303376976232,6.710547608937391e-06,0.00015644854518472276,0.1620071999495849
baseline,700,0.0,1.1277981848209009,0.00013587870955831066,5.362051045330181e-06,0.00015626974935862095,0.1887037999695167
baseline,800,0.0,0.9591782536497792,0.00011556314338546593,5.5066798040298e-06,0.00016566582384678388,0.21392210002522916
baseline,900,0.0,0.9413295655298481,0.00011341270836820252,4.610452497083586e-06,0.0001724415006033951,0.2399341999553144
baseline,1000,0.0,0.7941184194989198,9.56765027025948e-05,5.002099933602949e-06,0.00016784472292859112,0.26359560003038496
baseline,1100,0.0,0.8770326304696996,0.00010566612331237102,3.941483628913283e-06,0.00017794087304481872,0.2893259000265971
baseline,1200,0.0,0.6769652953112574,8.156172973204596e-05,4.5480061754133025e-06,0.0001466217246638643,0.3153836999554187
baseline,1300,0.0,0.6759652155387504,8.144123871621302e-05,4.251476541050533e-06,0.0002161953931320415,0.34223139996174723
baseline,1400,0.0,0.6678295262771332,8.046103944553278e-05,3.7609085000735853e-06,0.00017206514955388382,0.3668545000255108
baseline,1500,0.0,0.5692602510197028,6.858527469937431e-05,3.9788307066148165e-06,0.0002188704462534068,0.39195980003569275
baseline,1600,0.0,0.5938493701457966,7.154780631274076e-05,3.24283464634607e-06,0.0001973198985923245,0.4181499000405893
baseline,1700,0.0,0.5825271133177868,7.018368490539688e-05,3.0497263299357854e-06,0.00020162613818242324,0.44359859998803586
baseline,1800,0.0,0.5190655335903377,6.253774463349708e-05,3.2262344062104244e-06,0.00017768219535813066,0.46904710005037487
baseline,1900,0.0,0.45327222447507914,5.461087432950553e-05,3.347815991328294e-06,0.00023487553041770228,0.4928315000142902
baseline,2000,0.0,0.4604387410355553,5.547430631172707e-05,2.8520953867475716e-06,0.00020415886591983258,0.5186657999875024
baseline,2100,0.0,0.2975106861724618,3.5844505392018665e-05,3.571155653243293e-06,0.0002573300571322344,0.5447309999726713
baseline,2200,0.0,0.4121426746861598,4.9655528395055254e-05,2.3577260385473765e-06,0.00028027199740588115,0.5687111000297591
baseline,2300,0.0,0.3316632407117452,3.9959253138003555e-05,2.898603777417807e-06,0.00025230564814348417,0.5934007000178099
