variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,elapsed_sec
baseline,0,0.0,12252.124749972507,0.2781686162220135,0.032240735599563634,2.2704219676183712e-05,0.010104799992404878
baseline,100,-115.60074400173069,6435.016095140056,0.1460987019868134,0.008299782410984584,8.400394930140107e-06,1.3691869999747723
baseline,200,-428.03987166102087,6127.748997517803,0.13912260069007074,0.0023257021802645297,1.919555405496851e-06,2.872449899907224
baseline,300,-1795.3338634664124,6794.538632100992,0.15426119532147162,0.000556611981022072,2.382017775659544e-07,4.453545899945311
baseline,400,-12813.651913337564,14828.786169382516,0.336668374928073,7.803394520069846e-05,1.2146027071938173e-08,5.943081300007179
baseline,500,-228898.4342352873,229171.3975250114,5.203039621951322,4.368625950437541e-06,4.727991745056003e-10,7.427610200014897
baseline,600,-5780010.906752481,5779982.117277534,131.2270043083493,1.730052135438216e-07,1.8065187082506444e-11,8.973343599936925
baseline,700,-151062278.9104709,151060275.76625624,3429.6278183185777,6.619576907788113e-09,6.893439325185397e-13,10.272531799972057
baseline,800,-3958365423.8191867,3958297624.3077297,89868.01842276666,2.526206165271794e-10,2.630185906128055e-14,11.700684299925342
baseline,900,-103743376367.81088,103741199109.1096,2355309.498579677,9.63872835696073e-12,1.0035359855624944e-15,13.051272899960168
baseline,1000,-2719017072843.963,2718949517494.16,61730225.5970385,3.6777996357648873e-13,3.8289381752382643e-17,14.515821399982087
baseline,1100,-71263117779329.92,71261072314708.19,1617890307.2566,1.4032504212235384e-14,1.460908010680426e-18,15.853682699962519
baseline,1200,-1867749407149533.8,1867688592557031.0,42403449354.88802,5.35403717425762e-16,5.57399424125957e-20,17.24494100001175
baseline,1300,-4.895231874997076e+16,4.895053602345338e+16,1111358490616.1196,0.0,2.1267149832331203e-21,18.653770399978384
baseline,1400,-1.2830063301865388e+18,1.282954657432402e+18,29127823052435.0,0.0,8.114302533581129e-23,19.877692600013688
baseline,1500,-3.3626773622669943e+19,3.36252896138286e+19,763418629243399.9,0.0,3.0959378305094585e-24,21.052530799992383
baseline,1600,-8.813379504147093e+20,8.812956562121455e+20,2.0008675896934036e+16,0.0,1.181224364145411e-25,22.26478159998078
baseline,1700,-2.3099395366286034e+22,2.3098197771183886e+22,5.2441464989548326e+17,0.0,4.506835343669709e-27,23.776203999994323
baseline,1800,-6.054239861481531e+23,6.053902629095561e+23,1.37446014584703e+19,0.0,1.7195314241460527e-28,25.02718679991085
baseline,1900,-1.5867901794415048e+25,1.5866956730408907e+25,3.602386922613005e+20,0.0,6.560662129750507e-30,26.08072889992036
baseline,2000,-4.158917014171433e+26,4.1586532788251775e+26,9.441683393898962e+21,0.0,2.5031354920052394e-31,27.444113499950618
baseline,2100,-1.0900385947385934e+28,1.0899652672736826e+28,2.4746249023317997e+23,0.0,9.550369487932522e-33,28.699349300004542
baseline,2200,-2.856961352398408e+29,2.8567581467352426e+29,6.485899195240315e+24,0.0,3.64380493894569e-34,29.826663699932396
baseline,2300,-7.488032584865968e+30,7.487471114470236e+30,1.699933294361173e+26,0.0,1.3902381325999525e-35,30.984085500007495
baseline,2400,-1.9626007274845733e+32,1.9624459997395998e+32,4.4554793498916606e+27,0.0,5.304230679338195e-37,32.15977759996895
baseline,2500,-5.143953749936381e+33,5.143528377089493e+33,1.167771468501293e+29,0.0,2.0237401130451582e-38,33.274253899930045
baseline,2600,-1.348227013332711e+35,1.348110325257592e+35,3.060709806210179e+30,0.0,7.721224982756596e-40,34.58085129992105
baseline,2700,-3.5337015222006884e+36,3.53338205901196e+36,8.022086111564047e+31,0.0,2.9458918892108085e-41,35.63946649990976
baseline,2800,-9.261846358559708e+37,9.26097333703739e+37,2.1025839930649042e+33,0.0,1.1239488117708992e-42,36.78742780000903
baseline,2900,-2.4275386364496128e+39,2.4273004580767056e+39,5.510871161998019e+34,0.0,4.288203536933074e-44,37.929137200000696
baseline,3000,-6.36261432518338e+40,6.361965527838113e+40,1.44440183514688e+36,0.0,1.636075643310902e-45,39.21645339997485
baseline,3100,-1.6676538740467856e+42,1.6674773942321448e+42,3.785791352933175e+37,0.0,6.242096784323932e-47,40.307334600016475
baseline,3200,-4.3709627367565773e+43,4.3704833293271753e+43,9.922616074759171e+38,0.0,2.381533788275925e-48,41.315907799988054
baseline,3300,-1.1456426179717354e+45,1.1455125476773896e+45,2.6007378047067936e+40,0.0,9.086196552836493e-50,42.57521189993713
baseline,3400,-3.002770133629354e+46,3.002417640201097e+46,6.81660020068908e+41,0.0,3.466623186344003e-51,43.84086529992055
baseline,3500,-7.870383300601791e+47,7.869429064420328e+47,1.786651897510274e+43,0.0,1.3226053591308506e-52,44.929968099924736
baseline,3600,-2.0628637745901134e+49,2.0626057137794835e+49,4.682879001986532e+44,0.0,5.0460674254326613e-54,46.18389479990583
baseline,3700,-5.406871952737527e+50,5.406174722439298e+50,1.2274019178581591e+46,0.0,1.9251960009986532e-55,47.358855800004676
baseline,3800,-1.4171717591776416e+52,1.4169835491341206e+52,3.2170775364728498e+47,0.0,7.345070744002923e-57,48.39604259992484
baseline,3900,-3.7144948752061422e+53,3.7139872491188394e+53,8.432126792994891e+48,0.0,2.802309801062088e-58,49.5599967999151
baseline,4000,-9.735940412019868e+54,9.734572368067723e+54,2.2101085161939147e+50,0.0,1.0691421190434275e-59,50.837210599915124
baseline,4100,-2.551860445548948e+56,2.5514920368477705e+56,5.792832048931134e+51,0.0,4.079001479224788e-61,51.93229229992721
baseline,4200,-6.688624308135932e+57,6.68763290413523e+57,1.5183403929577821e+53,0.0,1.5562215222147992e-62,53.13259289995767
baseline,4300,-1.7531438591857965e+59,1.7528772480193292e+59,3.979680654897691e+54,0.0,5.937287815217847e-64,54.35124799993355
baseline,4400,-4.59514453521321e+60,4.59442801638583e+60,1.0431053468114292e+56,0.0,2.265186256018079e-65,55.51022549998015
baseline,4500,-1.20443028437644e+62,1.2042378369417554e+62,2.7340659643955264e+57,0.0,8.642091579472024e-67,56.68905049993191
baseline,4600,-3.1569305441783112e+63,3.15641395588144e+63,7.166228880695668e+58,0.0,3.297106238820679e-68,57.816961299977265
baseline,4700,-8.274642824753214e+64,8.273256909418034e+64,1.8783357769412123e+60,0.0,1.2579000916671171e-69,58.88564969995059
baseline,4800,-2.168874163520593e+66,2.1685025431463193e+66,4.923304031019455e+61,0.0,4.79908549737265e-71,60.03485219995491
baseline,4900,-5.684867193228299e+67,5.683871230107855e+67,1.2904493115504423e+63,0.0,1.8309224766332983e-72,61.244391400017776
baseline,5000,-1.4900716803147935e+69,1.4898048854296264e+69,3.382408944388886e+64,0.0,6.985227513690054e-74,62.350940899923444
B_only,0,0.0,12252.124749972507,0.2781686162220135,0.032240735599563634,2.29970740097799e-05,0.00978159997612238
B_only,100,-114.1286359051332,6434.989818098466,0.14609810540063373,0.008399041025102917,8.563282013160824e-06,1.158764300053008
B_only,200,-420.62467780943496,6125.87788741433,0.13908011955974406,0.0023664209729673453,1.975144113841829e-06,2.386457300046459
