variant,iter,objective,primal_l2,primal_rel,dual_fp_rel,omega,restart_count,elapsed_sec
baseline,0,0.0,0.0,0.0,0.0,1.0,0,0.0016966999974101782
baseline,100,0.0,0.0,0.0,0.0,1.0,1,0.03959279996342957
baseline,200,0.0,0.0,0.0,0.0,1.0,2,0.07739079999737442
baseline,300,0.0,0.0,0.0,0.0,1.0,3,0.11625530011951923
baseline,400,0.0,0.0,0.0,0.0,1.0,4,0.15550539991818368
baseline,500,0.0,0.0,0.0,0.0,1.0,5,0.19323910004459321
baseline,600,0.0,0.0,0.0,0.0,1.0,6,0.22824710002169013
baseline,700,0.0,0.0,0.0,0.0,1.0,7,0.2647732999175787
baseline,800,0.0,0.0,0.0,0.0,1.0,8,0.2973885000683367
baseline,900,0.0,0.0,0.0,0.0,1.0,9,0.3320923000574112
baseline,1000,0.0,0.0,0.0,0.0,1.0,10,0.3677229001186788
baseline,1100,0.0,0.0,0.0,0.0,1.0,11,0.39963870006613433
baseline,1200,0.0,0.0,0.0,0.0,1.0,12,0.42999679991044104
baseline,1300,0.0,0.0,0.0,0.0,1.0,13,0.4639506000094116
baseline,1400,0.0,0.0,0.0,0.0,1.0,14,0.5005304999649525
baseline,1500,0.0,0.0,0.0,0.0,1.0,15,0.5332655999809504
baseline,1600,0.0,0.0,0.0,0.0,1.0,16,0.568276199977845
baseline,1700,0.0,0.0,0.0,0.0,1.0,17,0.5972766999620944
baseline,1800,0.0,0.0,0.0,0.0,1.0,18,0.6258781999349594
baseline,1900,0.0,0.0,0.0,0.0,1.0,19,0.6575794999953359
baseline,2000,0.0,0.0,0.0,0.0,1.0,20,0.6853916000109166
baseline,2100,0.0,0.0,0.0,0.0,1.0,21,0.7120598000474274
baseline,2200,0.0,0.0,0.0,0.0,1.0,22,0.7418994999025017
baseline,2300,0.0,0.0,0.0,0.0,1.0,23,0.7663944999221712
baseline,2400,0.0,0.0,0.0,0.0,1.0,24,0.7922890998888761
baseline,2500,0.0,0.0,0.0,0.0,1.0,25,0.8196968000847846
baseline,2600,0.0,0.0,0.0,0.0,1.0,26,0.849350200034678
baseline,2700,0.0,0.0,0.0,0.0,1.0,27,0.8769763999152929
baseline,2800,0.0,0.0,0.0,0.0,1.0,28,0.900660099927336
baseline,2900,0.0,0.0,0.0,0.0,1.0,29,0.9228401000145823
baseline,3000,0.0,0.0,0.0,0.0,1.0,30,0.9539463000837713
baseline,3100,0.0,0.0,0.0,0.0,1.0,31,0.981189199956134
baseline,3200,0.0,0.0,0.0,0.0,1.0,32,1.0094151999801397
baseline,3300,0.0,0.0,0.0,0.0,1.0,33,1.0342639000155032
baseline,3400,0.0,0.0,0.0,0.0,1.0,34,1.0593807001132518
baseline,3500,0.0,0.0,0.0,0.0,1.0,35,1.084580299910158
baseline,3600,0.0,0.0,0.0,0.0,1.0,36,1.108898299979046
baseline,3700,0.0,0.0,0.0,0.0,1.0,37,1.1433618001174182
baseline,3800,0.0,0.0,0.0,0.0,1.0,38,1.1779384999535978
baseline,3900,0.0,0.0,0.0,0.0,1.0,39,1.2101825000718236
baseline,4000,0.0,0.0,0.0,0.0,1.0,40,1.2325742000248283
baseline,4100,0.0,0.0,0.0,0.0,1.0,41,1.2583105000667274
baseline,4200,0.0,0.0,0.0,0.0,1.0,42,1.290448100073263
baseline,4300,0.0,0.0,0.0,0.0,1.0,43,1.3236527999397367
baseline,4400,0.0,0.0,0.0,0.0,1.0,44,1.3514678999781609
baseline,4500,0.0,0.0,0.0,0.0,1.0,45,1.3829910999629647
baseline,4600,0.0,0.0,0.0,0.0,1.0,46,1.4128954000771046
baseline,4700,0.0,0.0,0.0,0.0,1.0,47,1.442142799962312
