benchmark,benchmark_path,status,return_code,elapsed_seconds,output_dir,summary_file,summary:Absolute Objective Gap,summary:Average Inner Iterations At Restart,summary:Clipped Event Count,summary:Columns,summary:Delta Log Omega Sign Change Count,summary:Delta Log Omega Sign Change Rate,summary:Dual Objective Value,summary:Excess Delta Log Omega Sum,summary:Feasibility Polishing Iteration Count,summary:Feasibility Polishing Time (sec),summary:Final Primal Weight,summary:Initial Primal Weight,summary:Invalid Weight Reset Count,summary:Iterations Count,summary:Log Primal Weight Range,summary:Maximum Absolute Delta Log Omega,summary:Maximum Inner Iterations At Restart,summary:Maximum Primal Weight,summary:Mean Absolute Delta Log Omega,summary:Minimum Primal Weight,summary:Nonzeros,summary:Precondition time (sec),summary:Presolve Time (sec),summary:Primal Objective Value,summary:Reduced Columns,summary:Reduced Nonzeros,summary:Reduced Rows,summary:Relative Dual Residual,summary:Relative Objective Gap,summary:Relative Primal Residual,summary:Restart Count,summary:Rows,summary:Runtime (sec),summary:Termination Reason,summary:Weight Update Count
Primal2_1000,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\Primal2_1000.mps,ok,0,14.42222,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_batch5\Primal2_1000,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_batch5\Primal2_1000\Primal2_1000_summary.txt,3314.4726004600525,980,5,2559380,2,0.22222222222222221,393358017.59236497,7.112720873215423,0,0,0.21787696091820904,1,0,10800,6.5523401213222092,3.3753686775069025,3600,5.2233902738864604,1.1580855467660285,0.0074525915166732482,5498140,0.023,2.758,393361332.06496543,654759,2978278,684139,2.9603185300041318e-06,4.2130304761039616e-06,7.823228995349354e-05,10,1299380,5.4619999999999997,OPTIMAL,10
bharat,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\bharat.mps,ok,0,37.583045,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_batch4\bharat,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_batch4\bharat\bharat_summary.txt,42845.371004262008,3218.181818181818,2,590519,3,0.29999999999999999,3789400.4427509685,0.73593932650477045,0,0,0.69663214864468403,1,0,49000,1.9649059518340248,1.0748464533153776,12800,4.9699420521586735,0.4014370572727472,0.69663214864468403,3565462,0.045999999999999999,0.66800000000000004,3746555.0717467065,520425,3171170,1168505,1.2446846078490826e-06,0.0056854588958728828,0.00014724365760697213,11,1299953,30.091000000000001,TIME_LIMIT,11
brazil3,C:\Users\ASUS\Documents\PDLP改进实验\brazil3.mps,ok,0,0.845698,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\brazil3,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\brazil3\brazil3_summary.txt,0.00025315028310046728,333.33333333333331,6,23968,3,0.59999999999999998,1.999735177660952,4.3122362230011877,0,0,13.838750802341959,1,0,2200,4.294075722192507,2.2807151686486273,600,13.838750802341959,1.4118532177268099,0.18888762149610772,133184,0.0050000000000000001,0.012999999999999999,1.9999883279440525,18282,82429,9306,2.3565214634505246e-05,5.0632856560301765e-05,7.7268932095669506e-07,6,14646,0.083000000000000004,OPTIMAL,6
chromaticindex1024-7,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\chromaticindex1024-7.mps,ok,0,0.973725,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\chromaticindex1024-7,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\chromaticindex1024-7\chromaticindex1024-7_summary.txt,3.2962000187986007e-05,200,5,73728,4,1,2.9999936151096951,18.140882463975206,0,0,0.0074928776067075568,1,0,1200,5.697664172668901,5.0816811117990701,200,2.2341521627821437,4.3213236733549865,0.0074928776067075568,270324,0.021000000000000001,0.033000000000000002,3.0000265771098831,73728,270324,67583,1.064212157688338e-06,4.7088435865689072e-06,5.862503467413802e-06,5,67583,0.088999999999999996,OPTIMAL,5
datt256_lp,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\datt256_lp.mps,ok,0,2.021566,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\datt256_lp,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\datt256_lp\datt256_lp_summary.txt,0.0043206448950172671,200,0,262144,0,0,256.00674752278064,0,0,0,1.1648695263706428,1,0,400,0.15260908621417096,0.15260908621417096,200,1.1648695263706428,0.15260908621417096,1,1503732,0.01,0.17100000000000001,256.00242687788563,196503,1127548,9873,3.3969571419160368e-05,8.4221591164815924e-06,4.3384644531588667e-05,1,11077,0.071999999999999995,OPTIMAL,1
dlr1,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\dlr1.mps,ok,0,54.762262,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_dlr1\dlr1,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_dlr1\dlr1\dlr1_summary.txt,1371.7209128141403,4616.666666666667,11,9142907,2,0.18181818181818182,2706103.198538065,7.5929334105780502,0,0,0.028341351783096495,1,0,60600,9.6333905343961028,2.2018350311409209,20000,2.557438781742071,1.3086123101419544,0.00016752394652374847,18365107,0.023,3.653,2707474.9194508791,720720,2435973,755537,1.3163424872552094e-06,0.0002533852157542148,1.7094395362827753e-06,12,1735470,30.030000000000001,TIME_LIMIT,12
ex10,C:\Users\ASUS\Documents\PDLP改进实验\ex10.mps,ok,0,1.699245,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\ex10,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\ex10\ex10_summary.txt,0.00055892678744839941,200,1,17680,1,1,100.00025715954244,0.28459534920803242,0,0,0.66634191218205552,1,0,600,0.97774252976797782,0.97774252976797771,200,1.7714353873497077,0.77476635050683451,0.66634191218205552,1162000,0.0070000000000000001,0.082000000000000003,100.00081608632989,15896,1032200,62934,5.4822473283706874e-06,2.7807154380946934e-06,3.7858136388420451e-05,2,69608,0.090999999999999998,OPTIMAL,2
fhnw-binschedule1,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\fhnw-binschedule1.mps,ok,0,42.449344,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_final3\fhnw-binschedule1,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_final3\fhnw-binschedule1\fhnw-binschedule1_summary.txt,31726.435235819707,1800,10,1141653,6,0.46153846153846156,42502.807651008916,27.063803414144182,0,0,10700.579913273377,1,0,28000,12.961829815507052,6.0807704863733569,8600,425844.61939276475,2.5230664095420963,1,8611326,0.61799999999999999,0.84699999999999998,10776.372415189211,1140237,8603480,769966,2.888345832828727,0.59546411435549018,0.13106843064793303,14,772872,30.164000000000001,TIME_LIMIT,14
graph40-40,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\graph40-40.mps,ok,0,2.297198,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\graph40-40,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\graph40-40\graph40-40_summary.txt,4.3661822246576776e-07,200,1,102600,0,0,-299.99999956338178,2.1647025883732569,0,0,0.057392033818762948,1,0,400,2.8578497689332023,2.8578497689332023,200,1,2.8578497689332023,0.057392033818762948,1260900,0.01,0.11899999999999999,-300,102000,1215300,347100,1.34306708984734e-06,7.2648622759228755e-10,3.5527004795926765e-05,1,360900,0.098000000000000004,OPTIMAL,1
irish-electricity,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\irish-electricity.mps,ok,0,4.092974,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\irish-electricity,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\baseline_30s_stats_all15\irish-electricity\irish-electricity_summary.txt,100.75008086441085,3218.181818181818,8,61728,1,0.10000000000000001,2544539.4725749148,5.5260511496861149,0,0,2.4733819535417352,1,0,39600,6.3989753543324319,3.061782162988512,12800,2.4733819535417352,1.0811240256891541,0.0041138788835786595,523257,0.0050000000000000001,0.089999999999999997,2544438.7224940504,41271,412742,71918,9.9425847530084909e-05,1.9797699499741323e-05,1.6006599700820263e-06,11,104259,3.0150000000000001,OPTIMAL,11
