benchmark,benchmark_path,status,return_code,elapsed_seconds,output_dir,summary_file,summary:Absolute Objective Gap,summary:Average Inner Iterations At Restart,summary:Clipped Event Count,summary:Columns,summary:Delta Log Omega Sign Change Count,summary:Delta Log Omega Sign Change Rate,summary:Dual Objective Value,summary:Excess Delta Log Omega Sum,summary:Feasibility Polishing Iteration Count,summary:Feasibility Polishing Time (sec),summary:Final Primal Weight,summary:Initial Primal Weight,summary:Invalid Weight Reset Count,summary:Iterations Count,summary:Log Primal Weight Range,summary:Maximum Absolute Delta Log Omega,summary:Maximum Inner Iterations At Restart,summary:Maximum Primal Weight,summary:Mean Absolute Delta Log Omega,summary:Minimum Primal Weight,summary:Nonzeros,summary:Precondition time (sec),summary:Presolve Time (sec),summary:Primal Objective Value,summary:Reduced Columns,summary:Reduced Nonzeros,summary:Reduced Rows,summary:Relative Dual Residual,summary:Relative Objective Gap,summary:Relative Primal Residual,summary:Restart Count,summary:Rows,summary:Runtime (sec),summary:Termination Reason,summary:Weight Update Count
Primal2_1000,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\Primal2_1000.mps,ok,0,11.68129,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch5\Primal2_1000,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch5\Primal2_1000\Primal2_1000_summary.txt,58520.590690970421,600,1,2559380,3,0.59999999999999998,393470031.19851005,0.61895538784365256,0,0,2.5309658894209184,1,0,4000,1.0805260442816433,1.3121025684035978,1400,2.9462289904057561,0.34875575386327973,1,5498140,0.023,2.649,393411510.60781908,654759,2978278,684139,4.036864930008303e-05,7.4370267324180676e-05,7.2420775479046837e-05,6,1299380,2.024,OPTIMAL,6
bharat,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\bharat.mps,ok,0,37.495327,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch4\bharat,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_batch4\bharat\bharat_summary.txt,42945.25026143156,3218.181818181818,2,590519,3,0.29999999999999999,3785973.2650504825,0.87306687440172093,0,0,0.81465687046905466,1,0,49000,1.7035915726833752,1.1845147822062339,12800,4.4754338666112954,0.43633762196070619,0.81465687046905466,3565462,0.040000000000000001,0.76300000000000001,3743028.0147890509,520425,3171170,1168505,1.0611935375192842e-06,0.005703976259434319,8.002624347371162e-05,11,1299953,30.103000000000002,TIME_LIMIT,11
brazil3,C:\Users\ASUS\Documents\PDLP改进实验\brazil3.mps,ok,0,0.906632,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\brazil3,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\brazil3\brazil3_summary.txt,0.00033876188801684748,433.33333333333331,5,23968,2,0.40000000000000002,1.999923265188599,5.5071566033530894,0,0,3.3650828139682152,1,0,2800,2.599746934305494,2.7673455166558143,600,6.7301656279364304,1.5821996497964124,0.5,133184,0.0060000000000000001,0.017999999999999999,2.0002620270766158,18282,82429,9306,9.0518452893913832e-06,6.7749866898108384e-05,1.021428721371519e-06,6,14646,0.097000000000000003,OPTIMAL,6
chromaticindex1024-7,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\chromaticindex1024-7.mps,ok,0,2.701233,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\chromaticindex1024-7,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\chromaticindex1024-7\chromaticindex1024-7_summary.txt,1.4281692190643014e-05,200,3,73728,2,1,3.0000136528404502,6.8885125278055561,0,0,0.5,1,0,800,0.69314718055994529,4.380691429857575,200,1,2.9893180231617973,0.5,270324,0.025000000000000001,0.031,2.9999993711482595,73728,270324,67583,2.2756098015592655e-06,2.0402379455152924e-06,1.62661070030987e-07,3,67583,0.073999999999999996,OPTIMAL,3
datt256_lp,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\datt256_lp.mps,ok,0,2.58231,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\datt256_lp,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\datt256_lp\datt256_lp_summary.txt,0.0043206448950172671,200,0,262144,0,0,256.00674752278064,0,0,0,1.1648695263706428,1,0,400,0.15260908621417096,0.15260908621417096,200,1.1648695263706428,0.15260908621417096,1,1503732,0.019,0.188,256.00242687788563,196503,1127548,9873,3.3969571419160368e-05,8.4221591164815924e-06,4.3384644531588667e-05,1,11077,0.081000000000000003,OPTIMAL,1
dlr1,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\dlr1.mps,ok,0,41.920817,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_dlr1\dlr1,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_dlr1\dlr1\dlr1_summary.txt,380.85489940643311,2260,10,9142907,1,0.1111111111111111,2734737.2893497944,17.994122803481439,0,0,0.00390625,1,0,28400,6.2383246250395077,2.9592411435593942,8200,2,2.492559460908089,0.00390625,18365107,0.023,3.9369999999999998,2734356.434450388,720720,2435973,755537,4.0891667224552439e-07,6.9637649124825788e-05,6.7989485215824473e-06,10,1735470,14.058,OPTIMAL,10
ex10,C:\Users\ASUS\Documents\PDLP改进实验\ex10.mps,ok,0,1.736721,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\ex10,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\ex10\ex10_summary.txt,0.00021482638379666241,200,1,17680,1,1,100.00026498700073,0.28459534920803242,0,0,0.88571769367485387,1,0,600,0.6931471805599454,0.97774252976797771,200,1.7714353873497077,0.77476635050683451,0.88571769367485387,1162000,0.0070000000000000001,0.075999999999999998,100.00047981338453,15896,1032200,62934,5.8677350408749848e-06,1.0687840187358881e-06,2.8178327523781083e-05,2,69608,0.091999999999999998,OPTIMAL,2
fhnw-binschedule1,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\fhnw-binschedule1.mps,ok,0,42.455327,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_final3\fhnw-binschedule1,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_final3\fhnw-binschedule1\fhnw-binschedule1_summary.txt,10218.862497947626,2260,10,1141653,0,0,19087.040781822154,37.513015120738679,0,0,1024,1,0,27800,6.9314718055994531,5.7132690628063676,8200,1024,4.4444486926338129,1,8611326,0.61099999999999999,0.86799999999999999,8868.1782838745276,1140237,8603480,769966,0.32099211225120911,0.36553092082779354,0.12915257471619296,10,772872,30,TIME_LIMIT,10
graph40-40,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\graph40-40.mps,ok,0,2.666676,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\graph40-40,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\graph40-40\graph40-40_summary.txt,1.3345328966352099e-06,200,1,102600,0,0,-299.9999986654671,2.1647025883732569,0,0,0.5,1,0,400,0.69314718055994529,2.8578497689332023,200,1,2.8578497689332023,0.5,1260900,0.0089999999999999993,0.14099999999999999,-300,102000,1215300,347100,1.5788615589189419e-06,2.2205206316115937e-09,4.0921758869797176e-06,1,360900,0.105,OPTIMAL,1
irish-electricity,C:\Users\ASUS\Documents\PDLP改进实验\benchmarks\lptestset\irish-electricity.mps,ok,0,16.754362,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\irish-electricity,C:\Users\ASUS\Documents\PDLP改进实验\outputs\cupdlpx_log2_clip\log2_clipped_30s_stats_all15\irish-electricity\irish-electricity_summary.txt,1734.5636756815948,9671.4285714285706,11,61728,1,0.076923076923076927,2546725.1390542975,9.2950568333060879,0,0,1.3346211340792504,1,0,200000,4.4475305402373584,3.061782162988512,48800,1.3346211340792504,1.278676461207366,0.015625,523257,0.0080000000000000002,0.083000000000000004,2544990.5753786159,41271,412742,71918,7.4413825573787937e-06,0.0003406638218431955,2.6521804215318022e-07,14,104259,15.308,ITERATION_LIMIT,14
